show_id,network_brand,era_number,era_name,show_title,anchor_host,time_slot_et,duration_hours,days,premiere_date,end_date,status,show_type,notes
1,WGN America / NewsNation,1,WGN America — NewsNation Launch,NewsNation (Prime),Joe Donlon / Marni Hughes / Rob Nelson / Albert Ramon,8:00 PM – 11:00 PM,3,Mon–Fri,2020-09-01,,ended — renamed,Straight News,Original flagship newscast; renamed NewsNation Prime on Mar 1 2021. Weekend anchors: Rudabeh Shahbazi / Nichole Berlie / Aaron Nolan.
2,WGN America / NewsNation,1,WGN America — NewsNation Launch,NewsNation (Weekend Edition),Rudabeh Shahbazi / Nichole Berlie / Aaron Nolan,8:00 PM – 11:00 PM,3,Sat–Sun,2020-09-01,,ended — restructured,Straight News,Weekend edition of the original 3-hour newscast block.
3,NewsNation,2,Rebrand + 5-Hour Evening Expansion,NewsNation Early Edition,Nichole Berlie,6:00 PM – 7:00 PM,1,Mon–Fri,2021-03-01,2021-07-18,ended — renamed,Straight News,New show at rebrand launch; renamed NewsNation: Rush Hour on Jul 19 2021.
4,NewsNation,2,Rebrand + 5-Hour Evening Expansion,The Donlon Report,Joe Donlon,7:00 PM – 8:00 PM,1,Mon–Fri,2021-03-01,2022-03-25,ended,News/Talk,Launched at rebrand. Cancelled Mar 25 2022.
5,NewsNation,2,Rebrand + 5-Hour Evening Expansion,NewsNation Prime,Marni Hughes / Rob Nelson,8:00 PM – 10:00 PM,2,Mon–Fri,2021-03-01,,active — reduced to 1 hr Jul 2021,Straight News,Renamed from NewsNation (flagship). Reduced to 1 hr (9–10 PM) when On Balance launched Jul 19 2021. Eventually displaced.
6,NewsNation,2,Rebrand + 5-Hour Evening Expansion,Banfield,Ashleigh Banfield,10:00 PM – 11:00 PM,1,Mon–Fri,2021-03-01,2026-01-16,ended,News/Talk,"Interview-format show; ran nearly 5 years. Final episode Jan 16 2026. Re-aired at 1 AM and 4 AM ET, plus weekends."
7,NewsNation,2,Rebrand + 5-Hour Evening Expansion,NewsNation Prime (Weekend),Rudabeh Shahbazi,8:00 PM – 10:00 PM,2,Sat–Sun,2021-03-01,,ended — expanded,Straight News,Weekend edition; expanded to 7–10 PM (3 hrs) in late Feb 2022.
8,NewsNation,3,Opinion Era Begins,NewsNation: Rush Hour,Nichole Berlie,6:00 PM – 7:00 PM,1,Mon–Fri,2021-07-19,,active — expanded to 2 hrs Mar 2022,Straight News / Breaking,"Renamed from NewsNation Early Edition. Fast-paced breaking news format. Expanded to 5–7 PM (2 hrs) in Mar 2022. Displaced by The Hill and Vargas in Apr 2023."
9,NewsNation,3,Opinion Era Begins,On Balance with Leland Vittert,Leland Vittert,8:00 PM – 9:00 PM,1,Mon–Fri,2021-07-19,,current — moved to 9 PM Sep 2021 then 7 PM Oct 2022 then 9 PM Feb 2025,Opinion/Analysis,"Premiered at 8 PM Jul 19 2021; moved to 9 PM when Abrams launched Sep 27 2021; moved to 7 PM when Cuomo launched Oct 2022; moved to 9 PM Feb 10 2025."
10,NewsNation,4,Morning in America + Dan Abrams,Morning in America,Adrienne Bankert,7:00 AM – 10:00 AM,3,Mon–Fri,2021-09-27,,current — expanded / anchor changed,Morning News,"Premiered Sep 27 2021 at 7–10 AM with Adrienne Bankert. Expanded to 6–9 AM with Markie Martin (solo) on Jan 22 2024. Bankert became Special Projects anchor. Weekend edition (Hena Doba) launched Jan 27 2024."
11,NewsNation,4,Morning in America + Dan Abrams,Dan Abrams Live,Dan Abrams,8:00 PM – 9:00 PM,1,Mon–Fri,2021-09-27,2025-02-07,ended,Opinion/Analysis,"Premiered Sep 27 2021. Moved to 9 PM when Cuomo launched Oct 2022. Ended ~Feb 7 2025; Abrams remains with network."
12,NewsNation,5,Rush Hour Expands + Late Newscast,Early Morning,Mitch Carr,6:00 AM – 7:00 AM,1,Mon–Fri,2022-06-27,,status unknown — absorbed into Morning in America,Straight News,Launched Jun 27 2022 as a pre-block ahead of Morning in America. Eventually absorbed.
13,NewsNation,5,Rush Hour Expands + Late Newscast,NewsNation: Rush Hour (expanded),Nichole Berlie,5:00 PM – 7:00 PM,2,Mon–Fri,2022-03-14,,ended — displaced Apr 2023,Straight News / Breaking,Rush Hour expanded from 1 hr (6–7 PM) to 2 hrs (5–7 PM) in Mar 2022. Displaced when The Hill and Vargas took over those slots in Apr 2023.
14,NewsNation,5,Rush Hour Expands + Late Newscast,Late Newscast / NewsNation Live (Late),Marni Hughes / Leland Vittert,11:00 PM – 12:00 AM,1,Mon–Fri,2022-03-01,,current,Straight News,"Debuted during Ukraine war coverage; made permanent Mar 2022. Formally named NewsNation Live with Marni Hughes on Sep 19 2022."
15,NewsNation,5,Rush Hour Expands + Late Newscast,NewsNation Prime (Weekend — expanded),Rudabeh Shahbazi / rotating,7:00 PM – 10:00 PM,3,Sat–Sun,2022-02-01,,ended — replaced by 24/7 weekend programming 2024,Straight News,Expanded from 2 hrs (8–10 PM) to 3 hrs (7–10 PM) in late Feb 2022.
16,NewsNation,6,Cuomo Joins — Full Primetime Personality,Cuomo,Chris Cuomo,8:00 PM – 9:00 PM,1,Mon–Fri,2022-10-03,,current,Opinion/Analysis,Launched Oct 3 2022. Became flagship primetime program. Remained at 8 PM through all subsequent schedule changes.
17,NewsNation,6,Cuomo Joins — Full Primetime Personality,NewsNation Live with Marni Hughes,Marni Hughes,11:00 PM – 12:00 AM,1,Mon–Fri,2022-09-19,,current,Straight News,Formally named and branded Sep 19 2022. Later expanded to 9 AM–12 PM daytime block as well.
18,NewsNation,7,24/5 Achieved — Vargas + The Hill,Elizabeth Vargas Reports,Elizabeth Vargas,6:00 PM – 7:00 PM,1,Mon–Fri,2023-04-03,,current — moved to 5 PM Jan 2024 then 7 PM Feb 2025,Straight News / Evening Newscast,"Premiered Apr 3 2023 at 6 PM from new NYC studio. Moved to 5 PM Jan 22 2024. Moved to 7 PM Feb 10 2025. Multi-year deal signed early 2025."
19,NewsNation,7,24/5 Achieved — Vargas + The Hill,The Hill (Daily),Leland Vittert (then Blake Burman),5:00 PM – 6:00 PM,1,Mon–Fri,2023-04-24,,current — moved to 6 PM Jan 2024,Opinion/Panel,"Daily TV extension of co-owned The Hill outlet. Premiered Apr 24 2023 at 5 PM with Vittert. Moved to 6 PM Jan 2024 with Blake Burman hosting. Up 157% YoY in Mar 2026."
20,NewsNation,7,24/5 Achieved — Vargas + The Hill,NewsNation Now (Daytime — Berlie),Nichole Berlie,10:00 AM – 3:00 PM,5,Mon–Fri,2023-04-24,,current — hours adjusted Jan 2024,Rolling News,"Rolling news block launched Apr 24 2023. Adjusted to 12–3 PM on Jan 22 2024 when Live block expanded."
21,NewsNation,7,24/5 Achieved — Vargas + The Hill,NewsNation Now (Afternoon — McShane),Connell McShane,3:00 PM – 5:00 PM,2,Mon–Fri,2023-04-24,,current — expanded to 6 PM Feb 2025,Rolling News,Rolling news block. Expanded from 3–5 PM to 3–6 PM on Feb 10 2025 when Vargas moved to 7 PM.
22,NewsNation,8,Weekend Expansion + 24/7 Achieved,Morning in America (Weekend),Hena Doba,7:00 AM – 10:00 AM,3,Sat–Sun,2024-01-27,,current,Morning News,Weekend edition launched Jan 27 2024 with Hena Doba.
23,NewsNation,8,Weekend Expansion + 24/7 Achieved,Morning in America (Weekday — Markie Martin),Markie Martin,6:00 AM – 9:00 AM,3,Mon–Fri,2024-01-22,,current,Morning News,Markie Martin took over as solo weekday anchor Jan 22 2024; show expanded from 7–10 AM to 6–9 AM.
24,NewsNation,8,Weekend Expansion + 24/7 Achieved,NewsNation Live (Weekday Daytime),Marni Hughes,9:00 AM – 12:00 PM,3,Mon–Fri,2024-01-22,,current,Rolling News,Weekday daytime rolling news block established in Jan 2024 lineup.
25,NewsNation,8,Weekend Expansion + 24/7 Achieved,NewsNation Live (Weekend),rotating,10:00 AM – 1:00 PM,3,Sat–Sun,2024-01-01,,current,Rolling News,Weekend rolling news block added in early 2024 as part of 24/7 buildout.
26,NewsNation,8,Weekend Expansion + 24/7 Achieved,NewsNation Now (Weekend — Kooiman),Anna Kooiman,1:00 PM – 4:00 PM,3,Sat–Sun,2024-01-01,,current,Rolling News,Weekend afternoon rolling news block.
27,NewsNation,8,Weekend Expansion + 24/7 Achieved,The Hill Sunday,Chris Stirewalt,10:00 AM – 11:00 AM,1,Sun,2024-03-03,,current,Public Affairs / Political Talk,Weekly Sunday public affairs program. Premiered Mar 3 2024.
28,NewsNation,8,Weekend Expansion + 24/7 Achieved,NewsNation Now (Weekend Evening — Bankert),Adrienne Bankert,4:00 PM – 7:00 PM,3,Sat–Sun,2024-06-01,,current,Rolling News,"Final block needed to complete 24/7 schedule. Launched Jun 1 2024 — network declares full 24/7 achieved."
29,NewsNation,9,Abrams Ends — Vittert to 9PM / Vargas to 7PM,On Balance with Leland Vittert (9 PM),Leland Vittert,9:00 PM – 10:00 PM,1,Mon–Fri,2025-02-10,,current,Opinion/Analysis,Moved from 7 PM → 9 PM on Feb 10 2025 to fill slot vacated by Dan Abrams.
30,NewsNation,9,Abrams Ends — Vittert to 9PM / Vargas to 7PM,Elizabeth Vargas Reports (7 PM),Elizabeth Vargas,7:00 PM – 8:00 PM,1,Mon–Fri,2025-02-10,,current,Straight News / Evening Newscast,Moved from 5 PM → 7 PM on Feb 10 2025. Multi-year deal signed.
31,NewsNation,9,Abrams Ends — Vittert to 9PM / Vargas to 7PM,NewsNation Now (McShane — expanded),Connell McShane,3:00 PM – 6:00 PM,3,Mon–Fri,2025-02-10,,current,Rolling News,Expanded from 3–5 PM to 3–6 PM on Feb 10 2025 (Vargas vacated 5 PM slot).
32,NewsNation,10,Current Lineup — Pavlich + Weber,Katie Pavlich Tonight,Katie Pavlich,10:00 PM – 11:00 PM,1,Mon–Fri,2026-01-19,,current,Opinion/Political,"Replaced Banfield. Premiered Jan 19 2026. Political/conservative-leaning analysis. Network hit all-time viewership highs Mar 2026 with this lineup."
33,NewsNation,10,Current Lineup — Pavlich + Weber,Jesse Weber Live,Jesse Weber,11:00 PM – 12:00 AM,1,Mon–Fri,2026-01-19,,current,News/Legal Analysis,"New 11 PM hour extends prime block to midnight. Legal-affairs lens on the day's news. Up 53% in total viewers Mar 2026."
